start,end,speaker
0.008532423208191127,1.5534804753820035,SPEAKER_04
3.694539249146758,6.052631578947368,SPEAKER_04
6.052631578947368,9.718430034129693,SPEAKER_08
6.103565365025467,6.290322580645162,SPEAKER_04
7.971137521222412,9.227504244482175,SPEAKER_04
14.069965870307168,35.492359932088284,SPEAKER_05
35.57724957555178,36.71477079796265,SPEAKER_04
38.42150170648465,40.11035653650255,SPEAKER_04
40.449915110356535,43.064516129032256,SPEAKER_04
43.8481228668942,45.0339558573854,SPEAKER_04
45.0339558573854,45.22071307300509,SPEAKER_08
45.22071307300509,45.23769100169779,SPEAKER_04
46.732081911262796,48.3106960950764,SPEAKER_08
49.29180887372014,50.92529711375212,SPEAKER_08
52.39761092150171,55.73005093378608,SPEAKER_08
57.141638225255974,58.293718166383705,SPEAKER_08
59.95733788395904,61.33276740237691,SPEAKER_08
61.8081494057725,62.35144312393888,SPEAKER_08
63.13139931740615,63.59083191850594,SPEAKER_08
64.22354948805462,64.6943972835314,SPEAKER_08
64.9151103565365,65.40747028862478,SPEAKER_08
65.86587436332766,69.87266553480475,SPEAKER_01
71.42491467576792,76.96943972835314,SPEAKER_02
77.46587030716724,79.02376910016977,SPEAKER_02
79.26146010186758,79.94057724957554,SPEAKER_02
80.28013582342953,81.75721561969439,SPEAKER_02
82.1646859083192,84.37181663837012,SPEAKER_02
84.98302207130729,85.3056027164686,SPEAKER_02
87.43174061433447,93.20033955857386,SPEAKER_02
93.99830220713073,95.01697792869271,SPEAKER_02
96.11774744027305,98.39558573853989,SPEAKER_02
98.39558573853989,112.13073005093378,SPEAKER_00
112.13073005093378,121.2478777589134,SPEAKER_07
122.1245733788396,140.09337860780985,SPEAKER_07
141.0665529010239,154.35483870967744,SPEAKER_07
154.76230899830222,158.39558573853992,SPEAKER_07
156.0016977928693,159.5331069609508,SPEAKER_06
159.87201365187713,162.8947368421053,SPEAKER_06
163.2679180887372,163.81154499151106,SPEAKER_06
163.69269949066216,164.7113752122241,SPEAKER_09
163.81154499151106,164.01528013582345,SPEAKER_08
164.7113752122241,166.85059422750425,SPEAKER_06
166.85059422750425,167.93718166383704,SPEAKER_09
167.47877758913413,171.9949066213922,SPEAKER_06
171.9949066213922,177.52971137521223,SPEAKER_00
180.0255972696246,181.7911714770798,SPEAKER_00
183.57508532423208,184.21901528013584,SPEAKER_00
188.5314091680815,189.99146757679182,SPEAKER_06
192.7730375426621,193.45500848896435,SPEAKER_06
195.45221843003412,195.7935153583618,SPEAKER_07
197.1245733788396,198.276740237691,SPEAKER_07
198.276740237691,198.2849829351536,SPEAKER_02
199.54778156996588,200.00848896434636,SPEAKER_07
200.00848896434636,200.31409168081495,SPEAKER_02
200.60271646859084,202.69100169779287,SPEAKER_02
203.71160409556313,204.16808149405773,SPEAKER_05
204.54159592529712,207.29202037351445,SPEAKER_05
207.86926994906622,208.9728353140917,SPEAKER_05
210.8788395904437,211.16298811544993,SPEAKER_05
212.99488054607508,213.4726962457338,SPEAKER_02
214.41126279863482,215.1358234295416,SPEAKER_02
215.58873720136518,216.0016977928693,SPEAKER_01
218.31911262798639,222.3684210526316,SPEAKER_01
229.94027303754268,243.42105263157896,SPEAKER_03
235.00000000000003,235.0169779286927,SPEAKER_00
235.0169779286927,235.0509337860781,SPEAKER_06
235.0509337860781,235.0848896434635,SPEAKER_00
235.0848896434635,235.1528013582343,SPEAKER_06
235.1528013582343,235.3565365025467,SPEAKER_00
242.2156196943973,242.5551782682513,SPEAKER_00
242.8947368421053,246.01535836177476,SPEAKER_00
246.2713310580205,249.70288624787779,SPEAKER_03
249.70288624787779,250.99320882852294,SPEAKER_00
250.99320882852294,251.53650254668932,SPEAKER_09
252.3122866894198,253.26825127334467,SPEAKER_03
253.62627986348122,253.93039049235995,SPEAKER_09
254.30390492359933,256.0865874363328,SPEAKER_09
257.1075085324232,258.63327674023776,SPEAKER_09
258.9675767918089,259.8726655348048,SPEAKER_09
260.0424448217318,260.8064516129033,SPEAKER_09
261.0950764006791,265.3735144312394,SPEAKER_09
265.9168081494058,268.0390492359933,SPEAKER_09
269.56484641638224,271.11205432937186,SPEAKER_01
272.4146757679181,273.0460750853242,SPEAKER_01
273.8310580204778,274.9402730375427,SPEAKER_01
276.98805460750856,279.00679117147706,SPEAKER_01
279.00679117147706,279.51612903225805,SPEAKER_06
279.51612903225805,279.5840407470289,SPEAKER_01
280.53754266211604,281.2988115449915,SPEAKER_06
281.4346349745331,282.23259762309,SPEAKER_06
282.23259762309,282.30050933786083,SPEAKER_03
287.141638225256,287.4787775891341,SPEAKER_03
