start,end,mode,speakers,L,R
0.008532423208191127,1.5534804753820035,mono,SPEAKER_04,,
3.694539249146758,6.052631578947368,mono,SPEAKER_04,,
6.052631578947368,6.103565365025467,mono,SPEAKER_08,,
6.103565365025467,6.290322580645162,stereo,SPEAKER_04|SPEAKER_08,SPEAKER_04,SPEAKER_08
6.290322580645162,7.971137521222412,mono,SPEAKER_08,,
7.971137521222412,9.227504244482175,multi,SPEAKER_04|SPEAKER_08,,
9.227504244482175,9.718430034129693,mono,SPEAKER_08,,
14.069965870307168,35.492359932088284,mono,SPEAKER_05,,
35.57724957555178,36.71477079796265,mono,SPEAKER_04,,
38.42150170648465,40.11035653650255,mono,SPEAKER_04,,
40.449915110356535,43.064516129032256,mono,SPEAKER_04,,
43.8481228668942,45.0339558573854,mono,SPEAKER_04,,
45.0339558573854,45.22071307300509,mono,SPEAKER_08,,
45.22071307300509,45.23769100169779,mono,SPEAKER_04,,
46.732081911262796,48.3106960950764,mono,SPEAKER_08,,
49.29180887372014,50.92529711375212,mono,SPEAKER_08,,
52.39761092150171,55.73005093378608,mono,SPEAKER_08,,
57.141638225255974,58.293718166383705,mono,SPEAKER_08,,
59.95733788395904,61.33276740237691,mono,SPEAKER_08,,
61.8081494057725,62.35144312393888,mono,SPEAKER_08,,
63.13139931740615,63.59083191850594,mono,SPEAKER_08,,
64.22354948805462,64.6943972835314,mono,SPEAKER_08,,
64.9151103565365,65.40747028862478,mono,SPEAKER_08,,
65.86587436332766,69.87266553480475,mono,SPEAKER_01,,
71.42491467576792,76.96943972835314,mono,SPEAKER_02,,
77.46587030716724,79.02376910016977,mono,SPEAKER_02,,
79.26146010186758,79.94057724957554,mono,SPEAKER_02,,
80.28013582342953,81.75721561969439,mono,SPEAKER_02,,
82.1646859083192,84.37181663837012,mono,SPEAKER_02,,
84.98302207130729,85.3056027164686,mono,SPEAKER_02,,
87.43174061433447,93.20033955857386,mono,SPEAKER_02,,
93.99830220713073,95.01697792869271,mono,SPEAKER_02,,
96.11774744027305,98.39558573853989,mono,SPEAKER_02,,
98.39558573853989,112.13073005093378,mono,SPEAKER_00,,
112.13073005093378,121.2478777589134,mono,SPEAKER_07,,
122.1245733788396,140.09337860780985,mono,SPEAKER_07,,
141.0665529010239,154.35483870967744,mono,SPEAKER_07,,
154.76230899830222,156.0016977928693,mono,SPEAKER_07,,
156.0016977928693,158.39558573853992,multi,SPEAKER_06|SPEAKER_07,,
158.39558573853992,159.5331069609508,mono,SPEAKER_06,,
159.87201365187713,162.8947368421053,mono,SPEAKER_06,,
163.2679180887372,163.69269949066216,mono,SPEAKER_06,,
163.69269949066216,163.81154499151106,stereo,SPEAKER_06|SPEAKER_09,SPEAKER_06,SPEAKER_09
163.81154499151106,164.01528013582345,multi,SPEAKER_08|SPEAKER_09,,
164.01528013582345,164.7113752122241,mono,SPEAKER_09,,
164.7113752122241,166.85059422750425,mono,SPEAKER_06,,
166.85059422750425,167.47877758913413,mono,SPEAKER_09,,
167.47877758913413,167.93718166383704,multi,SPEAKER_06|SPEAKER_09,,
167.93718166383704,171.9949066213922,mono,SPEAKER_06,,
171.9949066213922,177.52971137521223,mono,SPEAKER_00,,
180.0255972696246,181.7911714770798,mono,SPEAKER_00,,
183.57508532423208,184.21901528013584,mono,SPEAKER_00,,
188.5314091680815,189.99146757679182,mono,SPEAKER_06,,
192.7730375426621,193.45500848896435,mono,SPEAKER_06,,
195.45221843003412,195.7935153583618,mono,SPEAKER_07,,
197.1245733788396,198.276740237691,mono,SPEAKER_07,,
198.276740237691,198.2849829351536,mono,SPEAKER_02,,
199.54778156996588,200.00848896434636,mono,SPEAKER_07,,
200.00848896434636,200.31409168081495,mono,SPEAKER_02,,
200.60271646859084,202.69100169779287,mono,SPEAKER_02,,
203.71160409556313,204.16808149405773,mono,SPEAKER_05,,
204.54159592529712,207.29202037351445,mono,SPEAKER_05,,
207.86926994906622,208.9728353140917,mono,SPEAKER_05,,
210.8788395904437,211.16298811544993,mono,SPEAKER_05,,
212.99488054607508,213.4726962457338,mono,SPEAKER_02,,
214.41126279863482,215.1358234295416,mono,SPEAKER_02,,
215.58873720136518,216.0016977928693,mono,SPEAKER_01,,
218.31911262798639,222.3684210526316,mono,SPEAKER_01,,
229.94027303754268,235.00000000000003,mono,SPEAKER_03,,
235.00000000000003,235.0169779286927,stereo,SPEAKER_00|SPEAKER_03,SPEAKER_00,SPEAKER_03
235.0169779286927,235.0509337860781,stereo,SPEAKER_03|SPEAKER_06,SPEAKER_03,SPEAKER_06
235.0509337860781,235.0848896434635,stereo,SPEAKER_00|SPEAKER_03,SPEAKER_00,SPEAKER_03
235.0848896434635,235.1528013582343,stereo,SPEAKER_03|SPEAKER_06,SPEAKER_03,SPEAKER_06
235.1528013582343,235.3565365025467,multi,SPEAKER_00|SPEAKER_03,,
235.3565365025467,242.2156196943973,mono,SPEAKER_03,,
242.2156196943973,242.5551782682513,multi,SPEAKER_00|SPEAKER_03,,
242.5551782682513,242.8947368421053,mono,SPEAKER_03,,
242.8947368421053,243.42105263157896,multi,SPEAKER_00|SPEAKER_03,,
243.42105263157896,246.01535836177476,mono,SPEAKER_00,,
246.2713310580205,249.70288624787779,mono,SPEAKER_03,,
249.70288624787779,250.99320882852294,mono,SPEAKER_00,,
250.99320882852294,251.53650254668932,mono,SPEAKER_09,,
252.3122866894198,253.26825127334467,mono,SPEAKER_03,,
253.62627986348122,253.93039049235995,mono,SPEAKER_09,,
254.30390492359933,256.0865874363328,mono,SPEAKER_09,,
257.1075085324232,258.63327674023776,mono,SPEAKER_09,,
258.9675767918089,259.8726655348048,mono,SPEAKER_09,,
260.0424448217318,260.8064516129033,mono,SPEAKER_09,,
261.0950764006791,265.3735144312394,mono,SPEAKER_09,,
265.9168081494058,268.0390492359933,mono,SPEAKER_09,,
269.56484641638224,271.11205432937186,mono,SPEAKER_01,,
272.4146757679181,273.0460750853242,mono,SPEAKER_01,,
273.8310580204778,274.9402730375427,mono,SPEAKER_01,,
276.98805460750856,279.00679117147706,mono,SPEAKER_01,,
279.00679117147706,279.51612903225805,mono,SPEAKER_06,,
279.51612903225805,279.5840407470289,mono,SPEAKER_01,,
280.53754266211604,281.2988115449915,mono,SPEAKER_06,,
281.4346349745331,282.23259762309,mono,SPEAKER_06,,
282.23259762309,282.30050933786083,mono,SPEAKER_03,,
287.141638225256,287.4787775891341,mono,SPEAKER_03,,
